,cum_distance,delta_distance,feed_rate,flow_rate,pressure,rpm,run_id,time,total_distance,wob
0,0.0,0.0,0.5,15.2,11.2,48.0,31726,2015-11-09 14:34:42,0.0,5215.0
1,0.0,0.0,0.5,15.5,10.6,60.0,31726,2015-11-09 14:34:47,0.0,4843.0
2,0.0,0.0,0.1,15.5,12.5,0.0,31727,2015-11-09 14:37:43,0.0,3295.0
3,1.3,1.3,1.1,13.7,11.5,94.0,31727,2015-11-09 14:38:43,1.3,460.0
4,2.9,1.5999999999999999,1.5,12.1,10.7,96.0,31727,2015-11-09 14:39:43,2.9,255.0
5,5.7,2.8000000000000003,2.7,12.2,10.4,96.0,31727,2015-11-09 14:40:43,5.7,114.0
6,8.5,2.8,2.7,12.2,10.2,96.0,31727,2015-11-09 14:41:43,8.5,3.0
7,11.9,3.4000000000000004,3.3,12.1,10.0,96.0,31727,2015-11-09 14:42:43,11.9,300.0
8,15.7,3.799999999999999,3.8,12.2,9.8,96.0,31727,2015-11-09 14:43:43,15.7,110.0
9,19.6,3.900000000000002,3.8,12.1,9.5,96.0,31727,2015-11-09 14:44:43,19.6,62.0
10,23.5,3.8999999999999986,3.8,12.1,9.2,96.0,31727,2015-11-09 14:45:43,23.5,-9.0
11,27.3,3.8000000000000007,3.8,12.1,9.0,96.0,31727,2015-11-09 14:46:43,27.3,73.0
12,31.1,3.8000000000000007,3.7,12.1,8.5,97.0,31727,2015-11-09 14:47:43,31.1,-10.0
13,34.5,3.3999999999999986,3.4,12.1,8.2,98.0,31727,2015-11-09 14:48:43,34.5,1404.0
14,34.8,0.29999999999999716,0.2,12.1,8.2,113.0,31727,2015-11-09 14:49:43,34.8,1330.0
15,36.6,1.8000000000000043,1.7,12.2,8.4,144.0,31727,2015-11-09 14:50:43,36.6,3019.0
16,32.9,-3.700000000000003,-1.4,12.2,8.6,149.0,31727,2015-11-09 14:51:43,32.9,3123.0
17,35.0,2.1000000000000014,2.0,12.2,8.8,178.0,31727,2015-11-09 14:52:43,35.0,468.0
18,36.4,1.3999999999999986,1.4,12.2,9.0,180.0,31727,2015-11-09 14:53:43,36.4,1964.0
19,37.8,1.3999999999999986,1.3,12.2,9.2,180.0,31727,2015-11-09 14:54:43,37.8,3204.0
20,39.1,1.3000000000000043,1.2,12.2,9.3,179.0,31727,2015-11-09 14:55:43,39.1,4567.0
21,37.6,-1.5,-0.2,12.2,9.5,172.0,31727,2015-11-09 14:56:43,37.6,5565.0
22,35.5,-2.1000000000000014,-6.8,12.3,9.7,174.0,31727,2015-11-09 14:57:09,35.5,3867.0
23,0.0,0.0,3.5,12.4,8.8,0.0,31728,2015-11-09 14:58:40,35.5,3509.0
24,0.4,0.4,0.4,12.3,9.7,178.0,31728,2015-11-09 14:59:20,35.9,1803.0
25,0.0,0.0,0.0,12.0,11.2,180.0,31729,2015-11-09 14:59:32,35.9,-136.0
26,1.8,1.8,1.7,12.3,9.5,180.0,31729,2015-11-09 15:00:32,37.699999999999996,229.0
27,3.5,1.7,1.7,12.3,9.2,180.0,31729,2015-11-09 15:01:32,39.4,1186.0
28,5.2,1.7000000000000002,1.6,12.3,9.2,180.0,31729,2015-11-09 15:02:32,41.1,2467.0
29,6.8,1.5999999999999996,1.6,12.3,9.1,180.0,31729,2015-11-09 15:03:32,42.7,3878.0
30,8.4,1.6000000000000005,1.5,12.3,8.8,180.0,31729,2015-11-09 15:04:32,44.300000000000004,5188.0
31,9.9,1.5,1.5,12.3,8.7,180.0,31729,2015-11-09 15:05:32,45.800000000000004,6637.0
32,10.3,0.40000000000000036,1.2,12.3,8.6,177.0,31729,2015-11-09 15:05:59,46.2,7400.0
33,0.0,0.0,0.0,12.4,7.5,120.0,31730,2015-11-09 15:06:40,46.2,8277.0
