,cum_distance,delta_distance,feed_rate,flow_rate,pressure,rpm,run_id,time,total_distance,wob
0,0.0,0.0,0.8,0.0,1.2,36.0,31603,2015-11-04 14:58:53,0.0,9276.0
1,0.0,0.0,0.0,0.0,1.2,72.0,31603,2015-11-04 14:58:57,0.0,9235.0
2,0.0,0.0,0.4,0.0,1.2,0.0,31604,2015-11-04 15:10:42,0.0,11458.0
3,0.0,0.0,0.0,0.0,1.2,66.0,31604,2015-11-04 15:10:45,0.0,11497.0
4,0.0,0.0,0.5,0.0,1.2,0.0,31605,2015-11-04 15:31:05,0.0,12802.0
5,0.0,0.0,0.0,0.0,1.2,66.0,31605,2015-11-04 15:31:08,0.0,12880.0
6,0.0,0.0,0.1,0.0,1.2,0.0,31606,2015-11-04 16:49:36,0.0,18902.0
7,0.0,0.0,0.0,0.0,1.2,66.0,31606,2015-11-04 16:49:39,0.0,19059.0
8,0.0,0.0,0.0,22.6,17.5,72.0,31607,2015-11-05 00:07:30,0.0,3103.0
9,10.2,10.2,9.3,16.7,11.6,72.0,31607,2015-11-05 00:08:30,10.2,415.0
10,21.3,11.100000000000001,11.0,16.0,10.5,72.0,31607,2015-11-05 00:09:30,21.3,315.0
11,32.3,10.999999999999996,11.0,15.9,10.0,72.0,31607,2015-11-05 00:10:30,32.3,372.0
12,43.7,11.400000000000006,11.0,15.9,9.5,72.0,31607,2015-11-05 00:11:30,43.7,428.0
13,54.9,11.199999999999996,11.1,15.9,8.9,72.0,31607,2015-11-05 00:12:30,54.9,698.0
14,66.1,11.199999999999996,11.2,14.4,7.1,71.0,31607,2015-11-05 00:13:30,66.1,736.0
15,77.3,11.200000000000003,11.2,14.1,6.3,72.0,31607,2015-11-05 00:14:30,77.3,1354.0
16,84.6,7.299999999999997,7.3,14.1,6.0,72.0,31607,2015-11-05 00:15:30,84.6,1029.0
17,90.0,5.400000000000006,5.3,14.1,5.9,72.0,31607,2015-11-05 00:16:30,90.0,648.0
18,95.5,5.5,5.3,14.1,5.5,72.0,31607,2015-11-05 00:17:30,95.5,921.0
19,100.5,5.0,5.2,14.1,5.3,72.0,31607,2015-11-05 00:18:30,100.5,2148.0
20,101.5,1.0,1.2,14.1,5.0,72.0,31607,2015-11-05 00:19:20,101.5,8917.0
21,0.0,0.0,0.0,23.7,22.5,108.0,31608,2015-11-05 00:35:21,101.5,4055.0
22,1.0,1.0,0.9,20.6,22.2,108.0,31608,2015-11-05 00:36:21,102.5,1357.0
23,2.2,1.2000000000000002,1.1,16.2,18.5,109.0,31608,2015-11-05 00:37:21,103.7,894.0
24,2.9,0.6999999999999997,0.6,16.2,18.5,108.0,31608,2015-11-05 00:38:21,104.4,1306.0
25,3.6,0.7000000000000002,0.7,16.3,18.4,109.0,31608,2015-11-05 00:39:21,105.10000000000001,1529.0
26,4.3,0.6999999999999997,0.6,15.0,17.3,109.0,31608,2015-11-05 00:40:21,105.80000000000001,1460.0
27,4.9,0.6000000000000005,0.6,14.8,17.2,111.0,31608,2015-11-05 00:41:21,106.4,1426.0
28,5.6,0.6999999999999993,0.6,14.8,16.5,119.0,31608,2015-11-05 00:42:21,107.10000000000001,1221.0
29,6.2,0.6000000000000005,0.6,14.9,16.4,118.0,31608,2015-11-05 00:43:21,107.7,1395.0
30,6.9,0.7000000000000002,0.6,14.8,16.4,120.0,31608,2015-11-05 00:44:21,108.4,1347.0
31,7.5,0.5999999999999996,0.5,14.9,16.5,119.0,31608,2015-11-05 00:45:21,109.0,968.0
32,8.1,0.5999999999999996,0.6,14.9,16.6,120.0,31608,2015-11-05 00:46:21,109.6,1213.0
33,8.7,0.5999999999999996,0.5,14.9,16.6,119.0,31608,2015-11-05 00:47:21,110.19999999999999,1177.0
34,9.3,0.6000000000000014,0.5,14.9,16.2,120.0,31608,2015-11-05 00:48:21,110.79999999999998,991.0
35,9.9,0.5999999999999996,0.5,14.9,16.2,120.0,31608,2015-11-05 00:49:21,111.39999999999998,935.0
36,10.5,0.5999999999999996,0.5,14.9,16.2,119.0,31608,2015-11-05 00:50:21,111.99999999999997,655.0
37,11.0,0.5,0.5,14.9,16.2,119.0,31608,2015-11-05 00:51:21,112.49999999999997,962.0
38,11.6,0.5999999999999996,0.5,14.9,16.2,120.0,31608,2015-11-05 00:52:21,113.09999999999997,583.0
39,12.2,0.5999999999999996,0.5,14.9,16.2,120.0,31608,2015-11-05 00:53:21,113.69999999999996,818.0
40,12.8,0.6000000000000014,0.5,14.7,16.2,119.0,31608,2015-11-05 00:54:21,114.29999999999995,862.0
41,13.3,0.5,0.5,14.9,16.2,119.0,31608,2015-11-05 00:55:21,114.79999999999995,426.0
42,13.9,0.5999999999999996,0.5,14.9,16.2,117.0,31608,2015-11-05 00:56:21,115.39999999999995,809.0
43,14.5,0.5999999999999996,0.5,14.9,16.1,119.0,31608,2015-11-05 00:57:21,115.99999999999994,811.0
44,15.0,0.5,0.5,14.9,15.9,118.0,31608,2015-11-05 00:58:21,116.49999999999994,1541.0
45,15.6,0.5999999999999996,0.5,14.9,15.8,118.0,31608,2015-11-05 00:59:21,117.09999999999994,1087.0
46,16.1,0.5000000000000018,0.5,15.0,15.9,113.0,31608,2015-11-05 01:00:21,117.59999999999994,1776.0
47,16.7,0.5999999999999979,0.5,14.9,15.9,108.0,31608,2015-11-05 01:01:21,118.19999999999993,1424.0
48,17.2,0.5,0.5,14.9,15.9,108.0,31608,2015-11-05 01:02:21,118.69999999999993,1725.0
49,17.8,0.6000000000000014,0.5,14.9,15.7,108.0,31608,2015-11-05 01:03:21,119.29999999999993,978.0
50,18.3,0.5,0.5,14.9,15.0,108.0,31608,2015-11-05 01:04:21,119.79999999999993,1673.0
51,18.9,0.5999999999999979,0.5,15.0,15.4,108.0,31608,2015-11-05 01:05:21,120.39999999999992,1204.0
52,19.4,0.5,0.5,15.0,15.5,108.0,31608,2015-11-05 01:06:21,120.89999999999992,1259.0
53,20.0,0.6000000000000014,0.5,14.9,15.6,108.0,31608,2015-11-05 01:07:21,121.49999999999991,534.0
54,20.6,0.6000000000000014,0.5,15.0,15.5,108.0,31608,2015-11-05 01:08:21,122.09999999999991,1224.0
55,21.1,0.5,0.5,15.0,15.5,108.0,31608,2015-11-05 01:09:21,122.59999999999991,531.0
56,21.7,0.5999999999999979,0.5,15.0,15.3,108.0,31608,2015-11-05 01:10:21,123.1999999999999,1584.0
57,22.2,0.5,0.5,15.0,15.0,108.0,31608,2015-11-05 01:11:21,123.6999999999999,1309.0
58,22.7,0.5,0.5,15.0,15.1,108.0,31608,2015-11-05 01:12:21,124.1999999999999,1595.0
59,23.3,0.6000000000000014,0.5,14.9,14.9,108.0,31608,2015-11-05 01:13:21,124.7999999999999,2340.0
60,23.8,0.5,0.5,15.0,15.0,106.0,31608,2015-11-05 01:14:21,125.2999999999999,2009.0
