,cum_distance,delta_distance,feed_rate,flow_rate,pressure,rpm,run_id,time,wob
0,0.0,0.0,0.0,18.0,228.8,300.0,31574,2015-11-04 12:50:11,23867.0
1,2.7,2.7,2.6,17.9,226.7,302.0,31574,2015-11-04 12:51:11,21261.0
2,5.6,2.8999999999999995,2.8,18.0,221.8,303.0,31574,2015-11-04 12:52:11,21266.0
3,8.4,2.8000000000000007,2.7,17.9,217.2,300.0,31574,2015-11-04 12:53:11,21343.0
4,11.0,2.5999999999999996,2.6,17.9,212.9,300.0,31574,2015-11-04 12:54:11,21438.0
5,11.2,0.1999999999999993,1.6,13.6,210.5,282.0,31574,2015-11-04 12:54:23,21755.0
6,0.0,0.0,0.5,15.2,11.2,48.0,31726,2015-11-09 14:34:42,5215.0
7,0.0,0.0,0.5,15.5,10.6,60.0,31726,2015-11-09 14:34:47,4843.0
8,0.0,0.0,0.1,15.5,12.5,0.0,31727,2015-11-09 14:37:43,3295.0
9,1.3,1.3,1.1,13.7,11.5,94.0,31727,2015-11-09 14:38:43,460.0
10,2.9,1.5999999999999999,1.5,12.1,10.7,96.0,31727,2015-11-09 14:39:43,255.0
11,5.7,2.8000000000000003,2.7,12.2,10.4,96.0,31727,2015-11-09 14:40:43,114.0
12,8.5,2.8,2.7,12.2,10.2,96.0,31727,2015-11-09 14:41:43,3.0
13,11.9,3.4000000000000004,3.3,12.1,10.0,96.0,31727,2015-11-09 14:42:43,300.0
14,15.7,3.799999999999999,3.8,12.2,9.8,96.0,31727,2015-11-09 14:43:43,110.0
15,19.6,3.900000000000002,3.8,12.1,9.5,96.0,31727,2015-11-09 14:44:43,62.0
16,23.5,3.8999999999999986,3.8,12.1,9.2,96.0,31727,2015-11-09 14:45:43,-9.0
17,27.3,3.8000000000000007,3.8,12.1,9.0,96.0,31727,2015-11-09 14:46:43,73.0
18,31.1,3.8000000000000007,3.7,12.1,8.5,97.0,31727,2015-11-09 14:47:43,-10.0
19,34.5,3.3999999999999986,3.4,12.1,8.2,98.0,31727,2015-11-09 14:48:43,1404.0
20,34.8,0.29999999999999716,0.2,12.1,8.2,113.0,31727,2015-11-09 14:49:43,1330.0
21,36.6,1.8000000000000043,1.7,12.2,8.4,144.0,31727,2015-11-09 14:50:43,3019.0
22,32.9,-3.700000000000003,-1.4,12.2,8.6,149.0,31727,2015-11-09 14:51:43,3123.0
23,35.0,2.1000000000000014,2.0,12.2,8.8,178.0,31727,2015-11-09 14:52:43,468.0
24,36.4,1.3999999999999986,1.4,12.2,9.0,180.0,31727,2015-11-09 14:53:43,1964.0
25,37.8,1.3999999999999986,1.3,12.2,9.2,180.0,31727,2015-11-09 14:54:43,3204.0
26,39.1,1.3000000000000043,1.2,12.2,9.3,179.0,31727,2015-11-09 14:55:43,4567.0
